EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID,LOCATION_ID
2560,Consuela,Demangeot,cdemangeot0@howstuffworks.com,419-992-7071,04-Feb-2008,VP Marketing,16733,4553,138,6
4504,Ryon,Gourley,rgourley1@shinystat.com,700-559-3275,25-Aug-2014,Desktop Support Technician,38454,2635,192,38
4791,Mateo,Presland,mpresland2@sbwire.com,743-664-4636,09-Jan-2012,Recruiting Manager,16604,3320,105,830
1427,Janel,Joontjes,jjoontjes3@arstechnica.com,781-202-5030,28-May-2010,Data Coordiator,90274,980,123,35132
865,Kelbee,Goodship,kgoodship4@youtu.be,308-587-2387,01-Nov-1996,Librarian,99157,1344,141,691
4455,Dedra,Pentercost,dpentercost5@imageshack.us,138-771-7233,29-Apr-1992,Operator,33078,4081,159,1
184,Quentin,Elphick,qelphick6@reverbnation.com,226-937-3160,12-Dec-2010,Nurse Practicioner,58373,2909,131,45108
3471,Corie,Cossem,ccossem7@spiegel.de,360-653-0617,27-Jul-2009,Senior Cost Accountant,20558,1569,102,835
1092,Else,Pail,epail8@cnbc.com,406-883-7552,10-Mar-1995,Assistant Professor,86684,520,162,201
1690,Odille,Tennewell,otennewell9@cornell.edu,490-741-9117,24-Apr-2017,Marketing Manager,68487,3331,157,8188
440,Addie,Porch,aporcha@cbc.ca,147-522-4272,01-Nov-2002,Pharmacist,40999,492,115,59
1007,Claudette,Cudworth,ccudworthb@hud.gov,213-867-0973,16-Jun-1997,Automation Specialist III,71974,2512,138,5089
1070,Sayre,Kimbling,skimblingc@businessinsider.com,590-855-4410,13-Apr-1998,Senior Sales Associate,18689,701,109,60
3697,Berny,Amiable,bamiabled@pinterest.com,551-106-1930,07-Mar-2016,Executive Secretary,48150,3224,112,89
1335,Curry,Stadding,cstaddinge@etsy.com,636-726-5866,26-Jun-2016,VP Accounting,73094,1885,151,40
1341,Sonny,Harborow,sharborowf@bing.com,334-686-1980,20-Jul-2006,Engineer II,87942,2954,142,1
325,Luce,Busain,lbusaing@salon.com,546-272-1142,11-Apr-2013,Sales Associate,82875,4378,161,96
2332,Simonne,Cuffley,scuffleyh@tinypic.com,844-893-8112,12-Nov-1999,Research Associate,33860,4211,104,893
2054,Siana,Voller,svolleri@squidoo.com,650-586-1507,14-Jun-2003,Media Manager III,54455,4252,166,9659
2882,Dorena,Clackers,dclackersj@discuz.net,981-355-1524,05-Dec-2008,Computer Systems Analyst III,24242,3819,192,3033
4028,Minnnie,Begin,mbegink@amazon.co.jp,348-506-0734,25-Apr-2015,Human Resources Manager,65998,1145,198,755
2376,Tristan,Dauney,tdauneyl@berkeley.edu,251-523-8860,06-Sep-1994,Systems Administrator I,90556,3211,178,216
2531,Sallee,Kwietek,skwietekm@devhub.com,280-127-1797,27-Dec-1998,Director of Sales,38121,2605,176,0
311,Erick,Starr,estarrn@usgs.gov,965-682-0865,04-Feb-2008,Account Coordinator,77346,2634,121,4
2393,Oswald,Rivenzon,orivenzono@free.fr,223-979-4320,05-Jan-1999,Senior Financial Analyst,52246,2671,184,6410
3030,Mead,Bachmann,mbachmannp@npr.org,862-753-0487,08-Mar-2017,Tax Accountant,61872,846,189,03
3144,Shae,Awdry,sawdryq@desdev.cn,955-283-2648,12-Sep-2006,Senior Developer,40633,3716,160,0366
1374,Dennison,Buckerfield,dbuckerfieldr@boston.com,487-240-0659,30-Sep-2013,Clinical Specialist,82144,4237,158,278
706,Florella,Hacon,fhacons@hostgator.com,398-993-2625,28-Jan-1995,Senior Financial Analyst,67606,2094,177,2914
2308,Saloma,Ewings,sewingst@mozilla.com,882-254-5818,29-Dec-2001,Pharmacist,64309,1022,157,97489
2281,Billye,Fitzmaurice,bfitzmauriceu@go.com,793-572-1068,05-May-1998,Administrative Assistant IV,6552,3230,150,68
3521,Cinnamon,Monketon,cmonketonv@cnet.com,909-749-6484,15-Oct-2001,Food Chemist,56581,2891,183,01609
2985,Jenine,Geydon,jgeydonw@state.tx.us,851-863-9786,25-Apr-2005,Design Engineer,52692,3254,176,5751
